Scan Axis	Amplitude	Phase	
-51.00	-64.864	-109.731	
-49.50	-64.836	-111.752	
-48.00	-64.818	-112.734	
-46.50	-64.594	-111.486	
-45.00	-64.490	-109.311	
-43.50	-64.258	-108.809	
-42.00	-63.970	-107.583	
-40.50	-63.625	-106.411	
-39.00	-63.303	-106.546	
-37.50	-62.691	-106.406	
-36.00	-62.540	-105.099	
-34.50	-62.309	-103.363	
-33.00	-61.957	-104.176	
-31.50	-61.706	-104.799	
-30.00	-61.695	-106.157	
-28.50	-61.342	-106.045	
-27.00	-61.250	-104.818	
-25.50	-61.074	-104.723	
-24.00	-61.030	-105.663	
-22.50	-60.701	-106.876	
-21.00	-60.585	-107.312	
-19.50	-60.405	-107.505	
-18.00	-60.222	-106.217	
-16.50	-60.105	-107.852	
-15.00	-59.938	-107.783	
-13.50	-59.922	-107.456	
-12.00	-59.765	-107.712	
-10.50	-59.544	-107.988	
-9.00	-59.303	-107.466	
-7.50	-59.168	-106.745	
-6.00	-59.148	-106.910	
-4.50	-59.042	-107.537	
-3.00	-59.012	-106.189	
-1.50	-58.825	-106.733	
0.00	-58.721	-106.326	
1.50	-58.604	-105.429	
3.00	-58.463	-104.509	
4.50	-58.429	-103.900	
6.00	-58.268	-102.977	
7.50	-58.266	-103.081	
9.00	-58.368	-103.176	
10.50	-58.358	-100.809	
12.00	-58.477	-98.822	
13.50	-58.373	-98.670	
15.00	-58.478	-98.823	
16.50	-58.480	-98.910	
18.00	-58.563	-97.945	
19.50	-58.419	-97.614	
21.00	-58.393	-97.328	
22.50	-58.438	-97.637	
24.00	-58.505	-95.327	
25.50	-58.502	-95.113	
27.00	-58.771	-94.012	
28.50	-58.929	-93.852	
30.00	-58.989	-92.681	
31.50	-58.869	-91.411	
33.00	-59.030	-90.706	
34.50	-59.094	-89.502	
36.00	-59.381	-88.923	
37.50	-59.540	-88.241	
39.00	-59.620	-86.388	
40.50	-59.652	-85.713	
42.00	-59.733	-84.347	
43.50	-59.875	-81.915	
45.00	-60.228	-80.737	
46.50	-60.375	-79.912	
48.00	-60.409	-77.890	
49.50	-60.565	-75.909	
51.00	-60.685	-74.482	
52.50	-60.787	-74.361	
54.00	-61.093	-73.317	
55.50	-61.490	-71.370	
57.00	-61.634	-70.135	
58.50	-61.886	-68.525	
60.00	-61.930	-67.077	
61.50	-61.927	-65.508	
63.00	-62.067	-63.400	
64.50	-62.362	-61.581	
66.00	-62.403	-59.495	
67.50	-62.706	-56.982	
69.00	-62.854	-55.646	
70.50	-63.044	-52.202	
72.00	-63.223	-48.696	
73.50	-63.480	-46.384	
